Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-11-09,26.48085090673365,26.498671129416515,26.302648679905026,26.32046890258789,246900,9,1,45,11,1993
1993-11-10,26.32046091684731,26.516483306884766,26.249180047742783,26.516483306884766,46500,10,2,45,11,1993
1993-11-11,26.516473178914936,26.58775402079374,26.427372126566432,26.445192337036133,88900,11,3,45,11,1993
1993-11-12,26.498663511474525,26.659045469513043,26.480843293914692,26.569944381713867,108200,12,4,45,11,1993
1993-11-15,26.623393418484888,26.623393418484888,26.480831740206522,26.552112579345703,243300,15,0,46,11,1993
1993-11-16,26.605585658876755,26.6946867494959,26.49866435013378,26.67686653137207,492600,16,1,46,11,1993
1993-11-17,26.69467986486677,26.69467986486677,26.46301708900344,26.534297943115234,39600,17,2,46,11,1993
1993-11-18,26.498658846203327,26.55211948947072,26.391737559668545,26.4630184173584,240800,18,3,46,11,1993
1993-11-19,26.37391310471755,26.445193950946514,26.35609289316031,26.40955352783203,106000,19,4,46,11,1993
1993-11-22,26.338271356648683,26.356091567309473,26.160069250040774,26.249170303344727,165300,22,0,47,11,1993
1993-11-23,26.3917293548584,26.409549563740814,26.24916768379907,26.3917293548584,89700,23,1,47,11,1993
1993-11-24,26.463014895112707,26.51647553126445,26.427374471011547,26.498655319213867,77200,24,2,47,11,1993
1993-11-26,26.56994395871316,26.56994395871316,26.498663089608634,26.516483306884766,1019800,26,4,47,11,1993
1993-11-29,26.58775564340445,26.641216278076172,26.40955352783203,26.40955352783203,517500,29,0,48,11,1993
1993-11-30,26.39174679623049,26.552128782163017,26.37392657557132,26.427387237548828,230000,30,1,48,11,1993
1993-12-01,26.56993970389318,26.587759918315644,26.4630184173584,26.4630184173584,379200,1,2,48,12,1993
1993-12-02,26.516477729587287,26.552118156643182,26.46301708900344,26.534297943115234,352000,2,3,48,12,1993
1993-12-03,26.516489984518707,26.641231536865234,26.516489984518707,26.641231536865234,306000,3,4,48,12,1993
1993-12-06,26.676861240386962,26.76596231333415,26.676861240386962,26.730321884155273,99500,6,0,49,12,1993
1993-12-07,26.7303141058883,26.748134315292226,26.676853477676524,26.712493896484375,88800,7,1,49,12,1993
