Learning Rate,Batch Size,Hidden Size,Dropout,MAE,Accuracy
0.005,32,32,0.3,0.04749550826787949,0.9713200000000001
0.005,32,64,0.0,0.04578128898620605,0.9711866666666665
0.005,32,64,0.1,0.047499276929299034,0.9714933333333334
0.005,32,64,0.2,0.045805672888358434,0.9713466666666667
0.005,32,64,0.3,0.04701975268304348,0.9712400000000001
0.005,32,128,0.0,0.04806242381652197,0.97096
0.005,32,128,0.1,0.046891886078914,0.97044
0.005,32,128,0.2,0.04628996733784675,0.97156
0.005,32,128,0.3,0.04509748655200004,0.9708133333333334
0.005,64,32,0.0,0.04726652431945006,0.9714533333333334
0.005,64,32,0.1,0.04639057152271271,0.9712533333333333
0.005,64,32,0.2,0.04755482018987338,0.9713066666666667
0.005,64,32,0.3,0.046587845770120616,0.9716000000000001
0.005,64,64,0.0,0.046373959470987325,0.9714666666666666
0.005,64,64,0.1,0.046360992161830275,0.9712933333333332
0.005,64,64,0.2,0.04725434942702452,0.9713733333333334
0.005,64,64,0.3,0.04854368380705516,0.97108
0.005,64,128,0.0,0.045757141358852386,0.9709866666666667
0.005,64,128,0.1,0.04503858954747518,0.9716133333333333
0.005,64,128,0.2,0.046965983223517735,0.9714133333333332
0.005,64,128,0.3,0.04894343023498853,0.9716799999999999
0.001,16,32,0.0,0.0463828379429318,0.9715066666666667
0.001,16,32,0.1,0.04617481960434157,0.9717066666666667
0.001,16,32,0.2,0.0467958500930015,0.9717066666666667
0.001,16,32,0.3,0.04543896736571255,0.9716000000000001
0.001,16,64,0.0,0.045091671190413185,0.97156
0.001,16,64,0.1,0.046724222268381466,0.9714533333333334
0.001,16,64,0.2,0.04532804809586766,0.9714133333333332
0.001,16,64,0.3,0.0467627120509441,0.97148
0.001,16,128,0.0,0.04618059473839278,0.9708666666666668
0.001,16,128,0.1,0.047089655800873105,0.9709733333333335
0.001,16,128,0.2,0.04574499193634528,0.9715733333333333
0.001,16,128,0.3,0.0465837234986232,0.9716266666666666
0.001,32,32,0.0,0.0468600296920538,0.9714133333333332
0.001,32,32,0.1,0.046236933189630514,0.9717866666666666
0.001,32,32,0.2,0.04662006120522817,0.9713466666666667
0.001,32,32,0.3,0.04516358667850494,0.9717066666666667
0.001,32,64,0.0,0.04561900468111039,0.9715066666666665
0.001,32,64,0.1,0.04607872652133306,0.9716933333333333
0.001,32,64,0.2,0.04534532342910766,0.9714533333333334
0.001,32,64,0.3,0.04739050885021686,0.9716533333333335
0.001,32,128,0.0,0.04649241291592519,0.9711066666666668
0.001,32,128,0.1,0.045574255115389824,0.9715333333333334
0.001,32,128,0.2,0.04563796236296495,0.9716933333333333
0.001,32,128,0.3,0.04792347920934359,0.9715066666666667
0.001,64,32,0.0,0.04596354470233122,0.9716666666666667
0.001,64,32,0.1,0.04473011971433958,0.9716666666666667
0.001,64,32,0.2,0.04672720897118251,0.9716400000000001
0.001,64,32,0.3,0.04492253242254257,0.9716933333333333
0.001,64,64,0.0,0.046650562848250074,0.9712666666666667
0.001,64,64,0.1,0.04666104911247889,0.9713999999999998
0.001,64,64,0.2,0.045237691684166595,0.9715199999999999
0.001,64,64,0.3,0.04484599619944891,0.97172
0.001,64,128,0.0,0.04622809406022231,0.9710533333333334
0.001,64,128,0.1,0.04563202733019988,0.97148
0.001,64,128,0.2,0.04710648805856705,0.9716000000000001
0.001,64,128,0.3,0.04618881166994572,0.9718133333333334
