Original Accuracy,Corrected Accuracy,Original Recall,Original Precision,Original F1 Score,Original TN,Original FP,Original FN,Original TP,Corrected Recall,Corrected Precision,Corrected F1 Score,Corrected TN,Corrected FP,Corrected FN,Corrected TP
0.9718,0.9720666666666666,0.6690363349131122,0.9952996474735605,0.8001889466225791,13730,4,419,847,0.6761453396524486,0.9895953757225433,0.8033786954481463,13725,9,410,856
0.9718,0.9719333333333333,0.6690363349131122,0.9952996474735605,0.8001889466225791,13730,4,419,847,0.674565560821485,0.9895712630359212,0.8022545796148426,13725,9,412,854
0.9718,0.972,0.6690363349131122,0.9952996474735605,0.8001889466225791,13730,4,419,847,0.674565560821485,0.9907192575406032,0.8026315789473685,13726,8,412,854
0.9718,0.9718,0.6690363349131122,0.9952996474735605,0.8001889466225791,13730,4,419,847,0.674565560821485,0.9872832369942196,0.8015016424213984,13723,11,412,854
0.9718,0.9718666666666667,0.6690363349131122,0.9952996474735605,0.8001889466225791,13730,4,419,847,0.6761453396524486,0.9861751152073732,0.8022492970946579,13722,12,410,856
0.9718,0.9719333333333333,0.6690363349131122,0.9952996474735605,0.8001889466225791,13730,4,419,847,0.674565560821485,0.9895712630359212,0.8022545796148426,13725,9,412,854
0.9718,0.9718666666666667,0.6690363349131122,0.9952996474735605,0.8001889466225791,13730,4,419,847,0.6761453396524486,0.9861751152073732,0.8022492970946579,13722,12,410,856
0.9718,0.9718666666666667,0.6690363349131122,0.9952996474735605,0.8001889466225791,13730,4,419,847,0.674565560821485,0.9884259259259259,0.8018779342723005,13724,10,412,854
0.9718,0.9719333333333333,0.6690363349131122,0.9952996474735605,0.8001889466225791,13730,4,419,847,0.674565560821485,0.9895712630359212,0.8022545796148426,13725,9,412,854
0.9718,0.9718666666666667,0.6690363349131122,0.9952996474735605,0.8001889466225791,13730,4,419,847,0.674565560821485,0.9884259259259259,0.8018779342723005,13724,10,412,854
