hidden_size,dropout_rate,use_bn,learning_rate,batch_size,train_loss,val_loss,MAE,MSE,Percent Error
32,0.2,False,0.0005,16,0.7483602603954377,9.404504346372281,2.417437665825648,9.146876956241844,3.1163720524551177
128,0.3,False,0.0001,16,0.7481477542896177,10.320315215912371,2.42472476832914,9.625317944590797,3.12916009845893
16,0.2,False,0.0005,16,0.7565260679864172,9.228543991899965,2.429141179773192,9.052715725175991,3.1291897908505493
16,0.1,False,0.0005,8,0.7420900785550211,9.579110518484022,2.43305561747772,9.199757665773305,3.132261715150224
64,0.2,False,0.0001,32,0.7588361960992631,9.870720657399326,2.4323206491028238,9.323541629177509,3.1354005447376183
64,0.3,False,0.0001,8,0.7505844807362165,10.285876340010631,2.4334070875155214,9.566060150465397,3.1381922401660214
64,0.3,False,0.0001,16,0.7649310062689061,10.198894100252577,2.432487101270663,9.528717259705788,3.138481248298388
32,0.1,False,0.0005,16,0.7338942429192454,9.601225781361526,2.4337060940976176,9.988656981351333,3.1401210782104867
64,0.1,False,0.0001,32,0.7567862726859192,10.062155143763139,2.442170192390088,9.505762033081574,3.1481045580105222
32,0.3,False,0.0005,8,0.7492427274658906,9.138070132486844,2.4458311194615647,9.409120311404164,3.15196221295096
32,0.3,False,0.0005,16,0.7526517498298326,9.423616139358064,2.4463323858400052,9.416741654510979,3.152263946770944
32,0.3,False,0.0005,32,0.7577803458062655,9.424451313462368,2.448627833183238,9.359595187027299,3.154723175523614
64,0.3,False,0.0005,32,0.7406150775126896,9.822961129223389,2.446601286629178,9.900032276598758,3.156357048881052
64,0.2,False,0.0001,8,0.7413158581624576,10.547770604738762,2.44858254186365,9.806113362863101,3.157462441920112
32,0.1,False,0.0005,32,0.7351388492436806,9.786562491889017,2.452522146464973,9.739316830932395,3.160110544039532
128,0.2,False,0.0001,32,0.7374336681047398,10.594227361837493,2.4523345997791415,9.896398125040701,3.1632388682886696
32,0.3,False,0.001,32,0.7490107603969519,9.566907216068914,2.457130967702297,9.678040325553145,3.16705780122286
32,0.2,False,0.0001,8,0.7657609234571288,8.800061872235169,2.463101878387249,9.141237078874086,3.1703254014373057
16,0.3,False,0.001,16,0.7743556059287979,8.622307297716109,2.4643779982004737,9.11162234850321,3.1712996743768236
16,0.2,False,0.0005,32,0.78001636217991,9.418995826188908,2.462146753980624,9.44107387157713,3.1722447673230603
128,0.1,False,0.0001,16,0.7335822697535591,10.860338863740331,2.4596291321002886,10.283830949150222,3.1737802359819836
16,0.2,False,0.001,16,0.7502294414756818,8.915322597161481,2.4685647901320302,9.62759308903799,3.1819410199200453
64,0.0,False,0.0001,8,0.7288133789057756,11.152304882226987,2.4694958794195925,10.229189328014776,3.1834623090223078
16,0.1,False,0.0005,16,0.7573671528398355,10.838767217084815,2.4708268803476496,10.075643115749745,3.185760239318758
16,0.3,False,0.0005,32,0.7866292222645914,8.535032362320099,2.47570602467518,9.178296692045443,3.186381930127505
32,0.0,False,0.0001,32,0.7636590954760922,8.900012350874485,2.4761606304850803,9.322066346138712,3.1879356536870977
128,0.0,False,0.0001,32,0.7273113897826202,10.88276138052196,2.4724083755190005,10.345004593820596,3.1883107189649813
64,0.3,False,0.0005,16,0.7367956403603177,10.531451756930432,2.4715330843893897,10.757621429193582,3.1905119643635027
64,0.2,False,0.0005,16,0.7282406010395599,9.580819130577517,2.467771906568515,11.365033902654645,3.191413601358728
32,0.2,False,0.0005,8,0.7482015416354428,9.80877045507843,2.4746116562394906,10.282007635498353,3.194210695918082
