hidden_size,dropout_rate,use_bn,learning_rate,batch_size,train_loss,val_loss,MAE,MSE,Percent Error
64,0.3,False,0.0005,32,0.7360339226541405,9.363513710807725,2.427409711420931,10.034292982147667,3.133068615571589
32,0.3,False,0.0005,16,0.7476515382507123,8.903906735391711,2.4462523858278793,9.296322355357816,3.14907963010028
64,0.2,False,0.0001,8,0.7407735289922401,10.04377335361468,2.4569691361180994,9.807450410893983,3.167525543877598
64,0.3,True,0.0005,8,0.7517322117321102,9.592393081449591,2.4633531002019415,10.384588683305036,3.1693994794847145
32,0.3,True,0.0005,8,0.7668439101096833,8.955380819960686,2.477249249085685,9.746501513531198,3.1933119874380087
32,0.2,False,0.0001,8,0.7590314089203439,10.451772202209776,2.489653904390651,10.072626979822052,3.2108419756979756
32,0.2,False,0.0005,16,0.735359303448839,8.66429146294578,2.496867676286508,10.202254937030405,3.214827852599589
64,0.3,False,0.0001,8,0.7504045235788728,10.762138793476396,2.4967671981710473,10.29620066653027,3.2182691278484516
32,0.2,False,0.0005,32,0.7420295926765423,9.114303612946673,2.497352544519285,10.435992672712393,3.2268704818283496
128,0.0,False,0.0001,32,0.7088355193980298,10.286267663949351,2.4950864855027355,11.9961327548869,3.229047962990764
32,0.1,False,0.0001,16,0.7519529230601414,10.72571316082216,2.5057415968534964,10.28511540023214,3.230312095767667
32,0.0,False,0.0001,8,0.7323096071818067,10.741556796203817,2.5136421228876173,10.44782511795593,3.238453056569094
128,0.2,False,0.0001,8,0.7157712947341595,10.317129992488214,2.5052678367160013,12.6029451647956,3.2387513477776153
64,0.1,False,0.0001,16,0.7334007532717746,10.688079613466993,2.5088931809987454,10.818473210124147,3.2390096037237988
32,0.3,False,0.0005,32,0.7607789783674347,8.280353388992259,2.5179766977070184,9.664992991558584,3.2403370393933324
32,0.1,False,0.0005,32,0.7281667490249504,9.56751655502573,2.5113911281358328,10.729085580863291,3.2415844276032573
128,0.2,False,0.0001,16,0.7330584844631257,10.446717962474125,2.5183067321777344,11.342675809935738,3.257143135020116
64,0.0,False,0.0001,16,0.7186691840574433,10.89603600993109,2.538399561193605,11.707274176738114,3.280012511723961
32,0.3,True,0.001,8,0.7575348251981776,8.600377758634446,2.5493255589971477,10.276306916131002,3.2846868434362047
128,0.1,False,0.0001,32,0.7268722667538197,10.640550202784743,2.5437321138697744,11.636015487297625,3.2864533383394727
32,0.2,True,0.001,8,0.7454334906487068,8.644192005550346,2.5484802145042167,10.800838150695968,3.2877856003159462
64,0.1,False,0.0001,8,0.7275329458010307,10.70123045214783,2.542281733127619,11.670431415320671,3.2911825446633394
32,0.3,True,0.0005,16,0.7674814744714142,8.200156483697732,2.561990060869432,10.331728301812372,3.2957986971372737
32,0.2,True,0.0005,8,0.7511430102180061,8.174315526398313,2.5646960631111604,10.453338432671686,3.3000124969242535
32,0.0,False,0.0005,32,0.7128568907112794,8.884478079203355,2.5672099410303377,11.283569179684442,3.315145349277519
32,0.2,False,0.001,32,0.7333721225703957,8.219991574968612,2.576858343667542,10.92620043232875,3.317822884496816
128,0.2,False,0.0001,32,0.7357562880187316,11.366363932207177,2.5733033009712267,11.895568134891,3.3243573298178197
32,0.3,False,0.0005,8,0.7348483123504784,8.47697138453639,2.5829826253928885,11.334491042646585,3.330651463353221
128,0.3,False,0.0001,16,0.7323988859079031,11.092432967531325,2.5779509714897104,12.079371694398557,3.3354326120479962
64,0.3,True,0.001,8,0.7456743359798731,8.589831349699203,2.593993602525319,11.194463666670542,3.346130289326997
128,0.1,False,0.0001,16,0.7048280930383544,9.634683245281842,2.582334061174203,13.462600252441778,3.348034259937166
32,0.1,False,0.0001,8,0.7521041729048625,10.31297336495992,2.598140327504139,11.099701660266648,3.3483568506505987
32,0.2,True,0.0001,8,0.7820782588531383,9.655562724306733,2.6035367447808877,11.741561931874724,3.3599244930371754
32,0.0,False,0.0001,16,0.7395235253782584,11.631210464021297,2.6082691217889846,11.719127520880644,3.3621149536697024
32,0.3,True,0.001,16,0.7411726982481698,8.256430240010106,2.608053773286327,11.426393271280254,3.3652382919629282
32,0.3,False,0.0001,8,0.78201145847469,9.611404160090856,2.618760251683115,10.745171010417252,3.369027886460339
32,0.1,True,0.001,8,0.7354676166153495,9.39330795674625,2.6297790881024294,11.9427481599117,3.3887592755699174
32,0.2,True,0.0005,16,0.7374682216629037,8.748148323135123,2.6355708671721403,11.849161243635441,3.4007259323830064
64,0.0,False,0.0001,32,0.7273460100158021,11.927339727458763,2.651358636009772,12.46134559738253,3.4171667177916234
64,0.2,False,0.0001,16,0.7506000360403826,11.882442858369643,2.6531977394558734,12.160172576009959,3.419278613946804
64,0.2,True,0.0005,8,0.7468619310059442,8.762841823172332,2.6600543091628723,12.340984240683667,3.437458304816247
32,0.3,False,0.0001,16,0.7837848709251496,10.854439274734041,2.6704729370723497,11.798658808461914,3.437654108562969
64,0.0,False,0.0001,8,0.6984497338046228,9.589061924627059,2.661500438159665,13.621263739487752,3.4432388808850654
32,0.3,True,0.001,32,0.7378484549468175,8.13535493742984,2.672626816200105,11.948713875782786,3.450610465974675
128,0.3,False,0.0001,32,0.747408159387476,11.459885742339582,2.6695813033754465,12.554292810546816,3.453188400488732
32,0.3,False,0.0001,32,0.7985061553241348,7.5825922918478135,2.6957845548920285,10.669324009316819,3.460183754643463
64,0.1,False,0.0001,32,0.7381323824982823,12.057217915430417,2.706903389431783,12.799112927241463,3.4868207936164017
64,0.3,True,0.0001,16,0.7895871686211018,9.812802238084153,2.6944306051494267,13.242893264989284,3.498731743167741
64,0.3,True,0.0001,8,0.7753202832435664,10.465922412365378,2.708620677720632,13.705302838147364,3.5152189428127993
64,0.2,False,0.0001,32,0.7610125433195545,12.224277088253999,2.734898080888963,13.059689950422603,3.5225186031817532
32,0.3,False,0.001,32,0.7197517824706747,7.5253759251084436,2.74724885043719,12.412904255233327,3.5258660115772074
64,0.3,False,0.0001,32,0.7769961742704102,11.754799108410198,2.74066727240354,12.858294617735565,3.5318852253354134
32,0.2,False,0.0001,16,0.7891201748310799,12.079181640726386,2.7517392316401397,12.926320490144073,3.5376170706964345
64,0.3,False,0.0001,16,0.7594028746268389,12.378527777535577,2.756674227177702,13.105062146634795,3.551293695145546
32,0.2,True,0.001,16,0.7286299394010735,8.505255516026898,2.747896035301764,13.745745847371019,3.554073696722825
32,0.3,True,0.0001,16,0.8260570570180495,8.286997495378767,2.7423326151260476,13.177342549246923,3.555670911121019
128,0.3,True,0.0001,16,0.7633786779985245,8.702548637263405,2.74385204694129,14.385789973878058,3.5616889498491453
32,0.2,True,0.0001,16,0.7876017412947862,9.091616930280413,2.7592375268999314,13.744687344887346,3.570639007623713
32,0.3,True,0.0005,32,0.7682946126005203,7.539823061920875,2.7771750469081447,12.089233862502304,3.5763641848873675
128,0.3,True,0.0001,8,0.7803852027815628,10.157370419359683,2.7741283442010944,14.394712668183317,3.5825986746023624
64,0.3,True,0.0005,16,0.7308575180759647,8.1861893872486,2.787330395022765,13.691680945641734,3.594900603495573
32,0.2,True,0.001,32,0.7214883172478164,8.085573505008735,2.8147556987029825,14.221085738724781,3.635200013665718
32,0.2,True,0.0005,32,0.7378583200281194,7.681712992088343,2.8348063134199735,13.66028228351923,3.6474313917617343
32,0.3,True,0.0001,32,0.8826725920295581,8.59307541577919,2.818328382479434,13.672225716741565,3.6487140238950286
64,0.3,True,0.0005,32,0.7257448582676342,7.623904825761866,2.8368195893748704,13.253251980320147,3.649346838639233
64,0.3,False,0.0005,16,0.712660385239353,8.621795724000645,2.85051540349493,15.319452739887334,3.6691195070552363
128,0.2,True,0.0001,16,0.7337674674576025,8.901141987290494,2.833208751046895,17.914765092733422,3.6759026944778217
32,0.2,True,0.0001,32,0.795509621414125,9.589682934529758,2.82236418566167,15.733654692431099,3.676926195982472
64,0.2,True,0.0001,16,0.7813319112022633,7.785111973531222,2.8658238947786248,14.66238135492575,3.6981322870531597
128,0.3,True,0.001,8,0.7411783821939066,8.488324453347545,2.8766920253930497,14.484438118439435,3.707486536313633
32,0.1,True,0.0005,16,0.7230425815931345,8.739465406170714,2.8680129019629876,17.813164899144883,3.726250242892727
64,0.3,True,0.001,16,0.7227138663744705,8.838315481521757,2.8913701442693247,15.3564766459162,3.7313136917716125
64,0.3,True,0.001,32,0.7229967643796085,7.779230248967673,2.900436032528909,15.550934738901079,3.7498026727320424
64,0.3,True,0.0001,32,0.8121730145784498,7.817646600083259,2.899348788229835,14.171846164294383,3.7527702411791877
64,0.2,True,0.001,8,0.7377855275845646,8.256235940432628,2.9389826818807236,14.790785779048363,3.781605992201204
32,0.3,False,0.001,16,0.7121239720334714,7.690259833351718,2.9453570334327144,15.071778895738646,3.7870716960023785
32,0.2,False,0.0001,32,0.8150824926894187,11.553728202490316,2.9560535001438972,14.677310536145455,3.7968783303627585
32,0.2,False,0.001,16,0.6969393052356669,8.39375390721318,2.9275668011595872,17.460471904729662,3.800507909255317
32,0.1,False,0.001,32,0.6958737353949828,7.8892862883913155,2.9832051915048763,17.40147073966141,3.8567643505409697
32,0.3,False,0.001,8,0.7140837870638848,7.972290420532227,2.9890019347336123,16.826169958215193,3.861708337498253
128,0.2,True,0.0001,32,0.7469893749080487,8.2496072921246,2.997363890085788,18.581157520225123,3.8795736427980367
64,0.1,True,0.0001,16,0.7481728870604338,8.180799650274638,2.990809313035169,18.383026735597277,3.890388198348653
64,0.2,True,0.0001,32,0.7803167440659117,8.460326564193167,3.02123710935479,17.38912189252568,3.9074217393426043
128,0.2,True,0.0001,8,0.7672827558815691,12.345946539438444,3.0180167217128324,23.023150607417172,3.9142769494246856
32,0.1,True,0.0001,16,0.7690159580134803,10.842333029433341,3.0117959887776156,20.479951651888307,3.918518775031652
128,0.3,False,0.0001,8,0.7184354588251718,9.652027177018581,3.0315768715561617,19.005733752554356,3.923286617283248
64,0.2,True,0.0001,8,0.7711487698063583,10.683058161434541,3.021542997549701,20.49828741587445,3.9353381881817744
32,0.1,True,0.0001,32,0.780739474601583,11.48668806766751,3.03416044727856,22.704103604815103,3.9414978183353497
32,0.1,True,0.0001,8,0.7690744781693246,11.374799642531181,3.033732647927392,19.600116150297133,3.961410813458663
32,0.1,False,0.0001,32,0.7725008920565852,13.57532961962627,3.1049282427655154,16.574398293811605,3.9743490763476563
32,0.0,False,0.0001,32,0.7597120606484105,13.186714403019394,3.1208208071474997,16.595941417290266,3.99650856375872
128,0.2,True,0.0005,8,0.7271631656933442,8.401523623038763,3.0754963514820632,20.10515181719548,3.9974324573759494
32,0.3,True,0.0001,8,0.8006573533833916,11.438369924285482,3.1253391341657824,16.869669456709143,4.003311042713892
64,0.1,True,0.001,8,0.7265220661100209,8.021319789981526,3.0933010833942336,20.357563053087073,4.023533447399007
64,0.1,True,0.0001,8,0.7563060215414207,11.139524491997651,3.0896560062635814,22.35157885385927,4.025710018032774
128,0.0,False,0.0001,16,0.681228127156324,8.806767854025198,3.1228616247113967,21.957866485954007,4.051916429086741
128,0.1,True,0.0001,16,0.7219309522166011,8.92363624699488,3.121044535352694,24.47705754103897,4.079476604880867
64,0.2,True,0.0005,16,0.7200715878201276,7.884367792630117,3.154974291971977,20.904182824569194,4.091774605271901
128,0.3,True,0.0001,32,0.7850532820399297,7.046391087275407,3.1787615946586554,17.71016295716671,4.100126662167647
128,0.1,True,0.0005,8,0.724894058022333,12.829752702808063,3.1717354149218426,25.447633846624072,4.101750422862027
32,0.1,True,0.0005,8,0.723532770431118,7.925801052682818,3.186525440847637,19.767812454409366,4.119293918794472
128,0.1,True,0.0001,8,0.7288594451317908,10.951638926382476,3.213969095495363,24.499491804710345,4.156944585776683
128,0.3,True,0.0005,8,0.7281520855833474,8.474289152709353,3.2219237220208377,19.821924522754507,4.160735955272094
32,0.0,True,0.0001,16,0.7379350876842057,12.529812919895514,3.2255866019141592,23.042647501270295,4.162822551286254
32,0.1,False,0.0005,16,0.6826352134272826,7.7102328309981125,3.2311419859627226,20.057789112582274,4.172973320830396
32,0.0,True,0.0001,8,0.7242780257876917,11.421077906649769,3.247706576214721,24.47697374858715,4.220907122110238
64,0.1,True,0.0001,32,0.7324462281742583,9.845658584290565,3.2947941255885245,23.27180695531725,4.261322919911137
128,0.3,True,0.0005,16,0.6997060241941535,8.178646704208019,3.278055297144202,25.17387256558786,4.289249921895843
64,0.3,False,0.001,16,0.6705027498500773,8.110993163530216,3.3235032214234206,24.31431848788406,4.31076017229058
32,0.0,True,0.001,16,0.6747222954361,8.449321376762517,3.394072963386182,23.920732731718132,4.394129193494167
64,0.1,False,0.0005,32,0.6791556937989396,7.877550086468161,3.4455662784197476,25.680107298556344,4.4611022339840325
32,0.1,True,0.001,16,0.703417954227987,7.356057762703627,3.453825411259733,22.513544837244286,4.462458238198524
32,0.0,True,0.0005,8,0.7093098580159443,11.903334086598747,3.4113646980942476,32.08835224967855,4.468259226505471
64,0.1,True,0.0005,8,0.7156115544217228,9.11888840602482,3.4067583804098973,31.381577942164427,4.468337373869099
64,0.0,True,0.0001,16,0.6653496677433249,9.242045047037626,3.4101791129206984,32.31941029184526,4.469894384907436
32,0.2,False,0.0005,8,0.6868997521258959,7.014346526548316,3.495215965422574,22.7577149345945,4.49951969725932
32,0.0,True,0.001,8,0.7136512407848998,6.552525233430323,3.5114484395412413,21.96216462125044,4.529288304086849
128,0.2,True,0.001,8,0.7161372468690967,9.039027850334827,3.469381044400449,38.263093003720215,4.533605342173255
64,0.2,False,0.0005,32,0.6816514619632063,7.434151646940415,3.524023359185023,24.122704146011138,4.54626974889933
64,0.3,False,0.001,32,0.673120603746951,7.057745553647165,3.528027636799591,23.601765051782742,4.549323115877458
128,0.1,True,0.001,8,0.7083621276805989,14.153291620051743,3.5256745647910415,40.318224702179215,4.605150450725324
64,0.2,True,0.001,16,0.7091874012137104,6.65844065659862,3.5941038649603234,23.463745685875296,4.633760936104822
128,0.0,True,0.001,8,0.6971049659478386,10.335910025783551,3.568969468880963,36.51125267447687,4.673225267456685
128,0.1,False,0.0001,8,0.6572400383031698,8.517977159363884,3.5973194122314456,30.733434551166894,4.6769473440017375
32,0.0,False,0.0005,16,0.663362870312957,6.92141255888828,3.62030714426609,27.440778726646975,4.701933363752107
128,0.3,True,0.001,32,0.7019622898516963,6.448579012595142,3.646472006286216,23.949406317332766,4.7060570682082075
32,0.1,True,0.0005,32,0.714914164360144,6.780327196849936,3.685872331833998,23.106892288922,4.717550086662784
64,0.3,False,0.001,8,0.6401033040175814,6.691774345236364,3.6492522081791963,28.87635492777208,4.7296733483301905
64,0.1,True,0.0005,16,0.6819173250201753,7.6885608014078235,3.6388669525550688,32.416965495018566,4.75090364972781
128,0.0,True,0.0001,8,0.6926057501970747,10.549736561569265,3.6085904860338625,41.02951597882713,4.755037355001539
64,0.3,False,0.0005,8,0.6566725881729214,6.770351622667027,3.7027415218732216,25.64931974813059,4.76260858506946
64,0.0,True,0.0001,8,0.6926812345666418,9.752441271753407,3.647105306663261,37.33625906703009,4.793521935639156
128,0.3,False,0.0005,16,0.6322188089608978,7.180824835831144,3.7299189434935713,30.279567066935222,4.840770617882722
128,0.0,True,0.0001,16,0.6222921110038311,10.464184211654917,3.7022595740311983,40.43939671215537,4.862794829871418
64,0.1,True,0.001,16,0.6728719103861635,7.199721558466307,3.7572552813599445,29.06226725597526,4.880851097662296
32,0.0,True,0.0001,32,0.7707543032467578,7.584365312760058,3.8147358951189663,30.07900724130096,4.906885949330224
64,0.2,True,0.0005,32,0.6896386183316434,6.695667115556837,3.879169158430289,28.748541676458935,4.999328830491457
32,0.1,True,0.001,32,0.6724323935769684,6.323995862688338,3.904290806852429,26.985065392992095,5.021326008524594
128,0.2,True,0.0005,16,0.685184068606098,6.714497213268597,3.9838262419037473,33.87636136790667,5.176054119518259
32,0.0,True,0.0005,16,0.6457052253710943,8.257925081094633,3.957948975215685,44.60051477577608,5.2040182499578105
128,0.3,True,0.0005,32,0.6932421962801414,6.24699105994646,4.047348474666772,29.748979518944154,5.207544252046035
128,0.2,True,0.001,16,0.6856884203655293,6.389857412572715,4.040565609458267,29.35429751749401,5.209781948606493
128,0.3,True,0.001,16,0.703476623969461,7.548413133462799,4.027938855404885,32.90387932915174,5.211167246266631
32,0.2,False,0.001,8,0.6585156800523242,6.097845241872971,4.060693389690475,32.77891873733336,5.244174008557147
128,0.1,True,0.0001,32,0.6766001788453168,7.005484241663023,4.052972333794398,36.73752294594644,5.277117384215288
64,0.2,False,0.001,16,0.6284285605610391,6.2057623863220215,4.096153400749561,31.82050311132502,5.288595702823068
128,0.0,True,0.0005,8,0.6589027441852722,11.641840022901365,4.00841377460404,61.396784915632765,5.335420318913425
64,0.2,False,0.0005,16,0.6606881693143242,6.726231941273838,4.180397185268781,32.22752457513905,5.3639272806564655
64,0.1,True,0.0005,32,0.658001340990297,7.178274629599232,4.2633406582257605,43.59292052308499,5.569325974696841
128,0.3,False,0.0005,8,0.6173623758889125,6.492146595649149,4.313082660902415,37.27138472484082,5.569820330620137
64,0.0,True,0.0005,8,0.6760705886873355,8.590954077917079,4.276802884032395,47.16390872138547,5.578004639356768
64,0.2,True,0.001,32,0.687761849037874,5.892367321153811,4.3311084873628936,35.53157270842456,5.580871203022363
32,0.0,True,0.001,32,0.6179538351174526,9.244797349213762,4.265227910224965,49.128335514331624,5.581363284543862
128,0.0,True,0.0001,32,0.6098396290721161,8.027376554495474,4.358073485923919,41.08929635324635,5.648256621269518
128,0.3,False,0.001,8,0.5691197188657144,5.640977000398097,4.380038252571561,39.552533087424735,5.671563179385934
32,0.0,False,0.001,32,0.6409770719532265,6.379974077389486,4.520938896027622,37.66704163380683,5.813399728112652
64,0.0,True,0.001,8,0.6709421048116921,7.403146289214739,4.470931342421778,46.960906175564865,5.816292336414502
64,0.2,False,0.0005,8,0.6265169595498605,6.204379428225103,4.512751744756635,39.27379455695619,5.820867934555212
64,0.0,False,0.001,32,0.5720989747172819,8.588003801745037,4.546234530013129,51.193411009185795,5.937552266462593
128,0.3,False,0.0005,32,0.6354049729767131,6.39890398171257,4.627705130671823,39.23496809488532,5.946848967672857
64,0.0,True,0.001,16,0.5907793656870585,8.626027350568297,4.578539314017391,59.026273430864116,6.011336719822077
64,0.1,False,0.0005,16,0.6250959964745758,8.348888675319,4.681535177672935,51.135336565929684,6.03442540303038
32,0.1,False,0.0005,8,0.6672555994441005,6.1789863397512725,4.729370455710304,41.82618499330998,6.0594279872328665
128,0.2,False,0.001,16,0.5656173937652834,5.815507178449155,4.677193933449044,46.49054241937918,6.067337002599956
128,0.2,False,0.0005,16,0.5533868643774915,5.709545887665099,4.71367109437652,39.88098429486416,6.079938763347293
32,0.1,False,0.001,16,0.6257238143415593,6.309162314627258,4.811387500383996,41.23566788649602,6.16830748819104
64,0.1,True,0.001,32,0.6374352571552496,7.3698255752804265,4.776264765404708,46.99906765421512,6.1776572285495535
32,0.0,False,0.001,16,0.6001191491130065,6.72108649288697,4.792302885750272,51.48199672320912,6.250104626142598
128,0.2,True,0.0005,32,0.6574190901159478,5.848637253422278,4.8486788440224355,46.37568737993354,6.2869788678119125
128,0.0,False,0.0001,8,0.6280702869266843,6.097591905459217,4.866975314411896,46.67690659808527,6.293608679232485
32,0.1,False,0.001,8,0.6584032453294757,5.626547234735616,4.934452066989924,43.41126379668953,6.3462522964710875
64,0.2,False,0.001,8,0.6041820053246822,5.923865931097454,4.9256011078689275,49.61640373554553,6.3709595617316825
64,0.0,True,0.0001,32,0.6025231504194603,8.01224366184881,4.916534598142106,56.76748231301796,6.396948579985765
32,0.0,False,0.0005,8,0.6213404491056596,6.6306127956935335,5.002320735501927,48.79643233677103,6.429889605499665
