Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2009-07-01,69.62107615243687,70.29210982047232,69.52306284250884,69.61354064941406,173041100,1,2,27,7,2009
2009-07-02,68.70876413346257,69.63614274733328,67.67583673076476,67.71353149414062,212309900,2,3,27,7,2009
2009-07-06,67.05759903352421,67.80402221736028,66.84648991100832,67.70600891113281,174499600,6,0,28,7,2009
2009-07-07,67.6381386566433,67.7210751922715,66.34886035591136,66.39409637451172,197088900,7,1,28,7,2009
2009-07-08,66.79371325341477,66.95205086270686,65.59491244229403,66.348876953125,248050500,8,2,28,7,2009
2009-07-09,66.80877401054202,67.02742433776089,66.28100132573158,66.4770278930664,163777600,9,3,28,7,2009
2009-07-10,66.12265514490385,66.71828752710795,65.85876883691219,66.31868743896484,173520300,10,4,28,7,2009
2009-07-13,66.58259300191439,67.98496721826719,66.03973772432083,67.93218994140625,217413500,13,0,29,7,2009
2009-07-14,68.14326665108355,68.37699941087854,67.6531946356406,68.31668090820312,181487400,14,1,29,7,2009
2009-07-15,69.2214683442136,70.50321125005341,68.36949066001205,70.3147201538086,220877900,15,2,29,7,2009
2009-07-16,70.11866260836305,71.25715003124748,69.98294883773914,70.20159912109375,231174500,16,3,29,7,2009
2009-07-17,70.91788770154916,71.11392005087885,70.52582875518152,70.97066497802734,138561700,17,4,29,7,2009
2009-07-20,71.3853429862448,71.84526168767496,71.01590207522905,71.72462463378906,164179400,20,0,30,7,2009
2009-07-21,72.28254224489137,72.30516024812178,71.18929081967381,72.05635070800781,217718300,21,1,30,7,2009
2009-07-22,71.59647868959995,72.4786159029254,71.54370139698116,72.04132080078125,196068100,22,2,30,7,2009
2009-07-23,72.08653472386632,73.9488276600399,72.02621619300677,73.63216400146484,258795500,23,3,30,7,2009
2009-07-24,73.2853138140213,73.99404196286152,72.90079623531396,73.93372344970703,154003100,24,4,30,7,2009
2009-07-27,73.79801778359861,74.190082409911,73.39087640348527,74.15238189697266,159259400,27,0,31,7,2009
2009-07-28,73.63214108968423,74.16745494183516,73.17975800129535,73.80554962158203,186685200,28,1,31,7,2009
2009-07-29,73.46630193602878,73.95637425396013,73.11947896000837,73.6246337890625,194399300,29,2,31,7,2009
2009-07-30,74.51430619864391,75.26827063067967,74.34089184826715,74.39366912841797,225575400,30,3,31,7,2009
2009-07-31,74.37858286983862,74.99683339504237,74.17500927790941,74.49921417236328,207358000,31,4,31,7,2009
2009-08-03,75.28336073486771,75.79605686963667,74.87621917911356,75.72820281982422,175776900,3,0,32,8,2009
2009-08-04,75.38888800785088,76.02975650611472,75.23055619667683,75.92420196533203,176714600,4,1,32,8,2009
2009-08-05,75.9769882918356,76.0448480774508,75.07977458823882,75.70556640625,184726400,5,2,32,8,2009
2009-08-06,76.05237935015317,76.16546939084937,74.959127687665,75.31349182128906,193203800,6,3,32,8,2009
2009-08-07,76.1051514198422,76.92696967163384,75.69046879132036,76.30117797851562,220640900,7,4,32,8,2009
2009-08-10,75.95436931936258,76.31627474938226,75.60000514371399,76.14286041259766,130898700,10,0,33,8,2009
2009-08-11,75.8035573344154,75.85633459552223,74.98927466109006,75.1928482055664,157301000,11,1,33,8,2009
2009-08-12,75.06468340360955,76.57261199429543,75.02698864021706,75.99960327148438,219052400,12,2,33,8,2009
2009-08-13,76.34644253676636,76.61032894629352,75.5924780796646,76.58016967773438,176449500,13,3,33,8,2009
2009-08-14,76.54247922267236,76.60279776772519,75.17026396033204,75.9920883178711,199616100,14,4,33,8,2009
2009-08-17,74.52938729585497,74.60478259299012,73.97145519430391,74.12224578857422,237667500,17,0,34,8,2009
2009-08-18,74.2881089392229,74.9742192814883,74.15239512164797,74.7103271484375,173461500,18,1,34,8,2009
2009-08-19,74.12221469989544,75.62260751935781,74.04681943438291,75.36625671386719,192812800,19,2,34,8,2009
2009-08-20,75.46429132649307,76.31627474938226,75.2984239963712,76.14286041259766,174131300,20,3,34,8,2009
2009-08-21,76.76864395457156,77.75633533601392,76.61785339714058,77.63570404052734,224605000,21,4,34,8,2009
2009-08-24,77.95238641103344,78.37460467522182,77.34921253165653,77.62818145751953,191279000,24,0,35,8,2009
2009-08-25,77.93731593165097,78.60834390656608,77.61311095201728,77.77898406982422,215310600,25,1,35,8,2009
2009-08-26,77.53769701744999,78.14087084523219,77.27381062490475,77.78650665283203,194620700,26,2,35,8,2009
2009-08-27,77.74127241673567,78.20119117672988,76.85913541896002,77.95992279052734,196230100,27,3,35,8,2009
2009-08-28,78.58565998992827,78.67613197665032,77.40947239194892,77.94478607177734,147024400,28,4,35,8,2009
2009-08-31,77.18334377470003,77.3416756208889,76.74604300772566,77.2511978149414,176051600,31,0,36,8,2009
2009-09-01,76.86668685926603,77.83930186064113,75.38891696833514,75.54724884033203,321276800,1,1,36,9,2009
2009-09-02,75.23056766213504,75.7281869321994,75.07223582683055,75.26072692871094,171805000,2,2,36,9,2009
2009-09-03,75.69806733206345,75.97703062755876,75.08735193039233,75.88655853271484,143572300,3,3,36,9,2009
2009-09-04,76.03731157952231,76.97222586164379,75.81112570200322,76.9496078491211,142687900,4,4,36,9,2009
2009-09-08,77.65834180220317,77.696042327296,77.19842300707468,77.61310577392578,132909100,8,1,37,9,2009
2009-09-09,77.74877592132347,78.47258072849328,77.50750765226687,78.20869445800781,154612500,9,2,37,9,2009
2009-09-10,78.26151138334731,79.06071185116272,77.82421062642138,79.0079345703125,162902400,10,3,37,9,2009
2009-09-11,79.15869377159063,79.39242656750334,78.62337992027685,78.9928207397461,152360100,11,4,37,9,2009
2009-09-14,78.3217988257453,79.51306363926167,77.77140818242935,79.37734985351562,149593800,14,0,38,9,2009
2009-09-15,79.50551764390296,80.00313674605081,78.98528628981838,79.70909118652344,196795900,15,1,38,9,2009
2009-09-16,79.99560611117286,80.93052017446568,79.71664301896502,80.91544342041016,206406300,16,2,38,9,2009
2009-09-17,80.80238871516295,81.47341678148113,80.35001108371044,80.79485321044922,229170900,17,3,38,9,2009
2009-09-18,81.17207785108339,81.17965502485114,80.57360827661375,80.84632873535156,153799100,18,4,38,9,2009
2009-09-21,80.21754782714248,81.0584348567229,80.04331330659996,80.64177703857422,151892000,21,0,39,9,2009
2009-09-22,81.11905025736316,81.3387420619866,80.75542104771641,81.1114730834961,143126700,22,1,39,9,2009
2009-09-23,81.30086880268945,81.83873259863508,80.29331844225902,80.437255859375,225947400,23,2,39,9,2009
