Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2002-02-11,72.02476914809532,73.06537901640245,71.87423813285638,72.93448638916016,18792400,11,0,7,2,2002
2002-02-12,72.62034935439954,73.1112042792841,72.0116890478133,72.70542907714844,13942500,12,1,7,2,2002
2002-02-13,72.96067745452287,73.65441747646673,72.87559273944598,73.47770690917969,16781100,13,2,7,2,2002
2002-02-14,73.63477929530113,73.93583636061139,73.03266017144648,73.34026336669922,20453800,14,3,7,2,2002
2002-02-15,73.39915373955255,73.45805391744783,72.45671094736304,72.57451629638672,18366800,15,4,7,2,2002
2002-02-19,72.0902597926713,72.18188568673177,71.08236996476936,71.1805419921875,15988100,19,1,8,2,2002
2002-02-20,71.3703273183029,72.37821197509766,70.56532282742455,72.37821197509766,29242800,20,2,8,2,2002
2002-02-21,71.94623743106092,72.40436666329452,70.85326841042207,70.87944793701172,26288600,21,3,8,2,2002
2002-02-22,70.91216066616457,71.95277551042683,70.59801636870569,71.75643157958984,26572900,22,4,8,2,2002
2002-02-25,71.82187638179758,73.17663549502977,71.79569685868759,72.94102478027344,17458700,25,0,9,2,2002
2002-02-26,73.03919479924586,73.32716455255608,72.36508832511812,72.79049682617188,22346500,26,1,9,2,2002
2002-02-27,73.2748150151244,73.86384186276085,72.41745676609656,73.07192993164062,28597900,27,2,9,2,2002
2002-02-28,73.18973187285918,73.7918459585797,72.66615136765559,72.74468994140625,23755400,28,3,9,2,2002
2002-03-01,73.1177400135432,74.51176600444263,72.98030125330527,74.43977355957031,26273600,1,4,9,3,2002
2002-03-04,74.54449750606491,75.91234407946618,74.38087920819964,75.7552719116211,27184600,4,0,10,3,2002
2002-03-05,75.48037138734585,76.18065728925704,75.24476071069978,75.51309204101562,22718900,5,1,10,3,2002
2002-03-06,75.32985498844467,76.67152687951342,75.31022159379461,76.40973663330078,20143200,6,2,10,3,2002
2002-03-07,76.80895622153147,76.90058204749111,75.63744888306684,76.24610900878906,19330800,7,3,10,3,2002
2002-03-08,76.82204707608135,77.16237586832447,76.233025308304,76.56680297851562,19930100,8,4,10,3,2002
2002-03-11,76.50137360610556,77.16239295053353,76.20031652677064,76.73043823242188,15621800,11,0,11,3,2002
2002-03-12,75.98435271277313,76.73699804189505,75.87963957631982,76.68463897705078,17153600,12,1,11,3,2002
2002-03-13,76.33121280676919,76.40975139377478,75.68328569198549,75.94507598876953,17175300,13,2,11,3,2002
2002-03-14,75.94508067129216,76.2003248532546,75.67674422740426,75.84036254882812,11168100,14,3,11,3,2002
2002-03-15,76.11668665112886,76.75990495696102,76.07074248642655,76.56300354003906,21220100,15,4,11,3,2002
2002-03-18,76.85831001648451,77.16022933930594,76.20196235621131,76.57608032226562,17548900,18,0,12,3,2002
2002-03-19,76.98962553249729,77.2784152591103,76.67457627637448,77.08807373046875,17912000,19,1,12,3,2002
2002-03-20,76.46452718772926,76.51703621936659,75.60471307669964,75.63752746582031,17114500,20,2,12,3,2002
2002-03-21,75.6769445223543,76.0707524151362,74.90245349661632,75.67037963867188,25846800,21,3,12,3,2002
2002-03-22,75.80820614857303,76.09700091726569,75.28312566141162,75.50628662109375,15235400,22,4,12,3,2002
2002-03-25,75.53909556839038,75.71631234821737,74.36423695156508,74.56770324707031,17499600,25,0,13,3,2002
2002-03-26,74.50861642222141,75.4931383385208,74.47580202953387,75.0008773803711,19947600,26,1,13,3,2002
2002-03-27,74.84336352339339,75.48658678290678,74.66615176224775,75.19779205322266,19020300,27,2,13,3,2002
2002-03-28,75.46033000106229,75.98540539403359,75.1518456413285,75.16497039794922,17532900,28,3,13,3,2002
2002-04-01,74.97463613122162,75.54565570077601,74.49549987584004,75.19779205322266,17711000,1,0,14,4,2002
2002-04-02,74.81055628188909,75.44720971247745,74.67271877860234,74.7843017578125,15669500,2,1,14,4,2002
