hidden_size,dropout_rate,use_bn,learning_rate,batch_size,train_loss,val_loss,MAE,MSE,Percent Error
64,0.0,False,0.0005,32,0.5145778146292749,6.522910155641272,21.969492694237502,719.58827375788,8.03597626584974
128,0.0,False,0.0005,32,0.479826402817017,6.616412737014445,22.411252511021946,744.7110707135149,8.154915534669863
64,0.0,False,0.0005,16,0.49730824018305864,7.106128238363469,22.870618987146678,771.7974876099344,8.313634406182311
128,0.0,False,0.0001,16,0.5294208805144173,7.15997330559061,22.998381605072424,786.250741767322,8.365705969690868
64,0.0,False,0.001,32,0.5010581781449821,7.207722004931023,23.168043651631404,801.280113102108,8.435913628618792
128,0.1,False,0.0001,16,0.5362025749055068,7.519005229371659,23.478200128287156,807.4330874349612,8.509548701439677
128,0.0,False,0.0005,16,0.5044353746128217,7.353822522214118,23.849096614928712,831.8723391030588,8.634089483433657
64,0.0,False,0.0005,8,0.49640409497284144,7.887797945674429,24.149323974933168,850.7037785984021,8.732591219953362
128,0.1,False,0.0001,8,0.5561598828384,8.286140242155563,24.2140503010636,852.2909710132203,8.760709572999346
64,0.0,False,0.001,8,0.48633855505037166,7.933092677292038,24.152032648789785,857.5316168968516,8.767262270985137
128,0.0,False,0.001,32,0.48310955116721643,7.904764467097342,24.23352889407535,860.7026956248969,8.783874672164492
64,0.0,False,0.001,16,0.5128219421093281,8.423022078199589,24.308016053055578,858.3859757383102,8.804119721179196
32,0.0,False,0.001,32,0.5345628320151924,8.276263065541045,24.390546407117768,863.9053544648368,8.824264639979594
64,0.1,False,0.0005,16,0.549533400467658,8.2264417886734,24.51462828132771,871.6383720065134,8.859509820747766
128,0.0,False,0.0005,8,0.5000847823123986,8.27253458056044,24.5348498761812,885.7004495733238,8.908045462532517
32,0.0,False,0.0005,32,0.5352676507278725,8.306965839101913,24.720255868441228,896.3785197656887,8.959612262697974
32,0.0,False,0.001,8,0.521802191083078,8.710533779162043,24.796191098645764,890.1572698433681,8.99270436446187
128,0.0,False,0.0001,8,0.5545629340698917,8.890313566238323,25.026907826228864,907.0395780846209,9.051003695160684
128,0.1,False,0.0005,16,0.526730328711689,8.717552427535361,25.05524294420642,905.2360202268619,9.058385285228711
128,0.0,False,0.001,16,0.5164550053428041,8.62556855856104,25.20756351865571,919.042145970665,9.101583418418375
64,0.1,False,0.0005,8,0.5291588277282707,8.559480880105749,25.25787770400313,922.0440331784478,9.123625648436668
128,0.1,False,0.001,16,0.5189673853463936,8.93665619872986,25.33968486431739,923.5738860553881,9.163969195001581
128,0.1,False,0.0005,8,0.539388544715283,8.780836115936015,25.45882406462409,932.7990236368669,9.18836484219084
64,0.2,False,0.0005,8,0.5330910352118674,8.745929242955878,25.442399350275096,932.3021070011974,9.189443111068638
128,0.2,False,0.0005,32,0.553748066788725,9.028909865846025,25.46250363458689,930.4090264822835,9.191060533131864
128,0.2,False,0.0001,8,0.5699474680695438,9.124944010820794,25.574512414906955,941.8314637802648,9.22372879257976
64,0.2,False,0.0005,16,0.5622711513864349,9.215693826371052,25.570077814157827,937.093088548419,9.230108946747194
128,0.1,False,0.0005,32,0.5501280300603633,9.20157369045501,25.6074209198079,940.0022287030542,9.251204350547889
128,0.0,False,0.0001,32,0.5629865336078524,9.040522556102022,25.675861308049775,952.932657463887,9.260954929239789
128,0.2,False,0.0001,16,0.5677151919871654,9.098063273125506,25.733990332808354,953.980140964321,9.280827692380466
32,0.0,False,0.0005,8,0.5458143353496182,9.212177386626285,25.700981662254435,957.5871607275027,9.289399689448853
32,0.0,False,0.0005,16,0.5439172349067835,9.23184509657799,25.758135549206315,948.5892204787845,9.296822751473595
128,0.1,False,0.0001,32,0.5763356360818586,9.251519157531414,25.797958325454346,957.7531618790829,9.301520822261974
128,0.3,False,0.0005,32,0.5570930004663278,9.27017910734136,25.796151012956937,951.9485207790924,9.309317583884857
64,0.3,False,0.0005,16,0.561872354243216,9.138002383708955,25.866177651483753,958.1840703114901,9.328009917545454
64,0.1,False,0.001,32,0.5564488744260239,9.470477090997898,25.936655707321364,958.8679740095969,9.36053716457536
128,0.0,False,0.001,8,0.5226594202572803,9.039290267799762,25.9788789541715,967.4815166688363,9.364875999309918
64,0.0,False,0.0001,8,0.5596094844449959,9.23455866651332,26.005958884970262,977.2118294550437,9.380655865376593
64,0.2,False,0.0005,32,0.5643377711545368,9.286712810841012,26.0814237640138,974.6190226337653,9.401065682910202
128,0.2,False,0.0005,8,0.5499058406288467,9.385790646139611,26.070667782892286,969.4341823412736,9.409691161627267
128,0.3,False,0.001,16,0.5536933466240211,9.277639077572111,26.112309414891413,974.7165060837771,9.417323131451038
128,0.3,False,0.0005,16,0.5609321409616715,9.532351017505565,26.130516946726832,972.9701842025802,9.426399852503753
32,0.1,False,0.001,16,0.5396076618691116,9.369998901955626,26.203860651719474,982.8898319199086,9.453777256251302
16,0.0,False,0.001,16,0.5550000757182765,9.561657993336942,26.22983784561764,986.068834879266,9.466639037569788
32,0.1,False,0.0005,16,0.5715498554027318,9.487950841923977,26.28972706276162,991.4586531453851,9.4729618780446
128,0.3,False,0.0005,8,0.5554906016053298,9.5991704286413,26.329708360424092,986.6783298964315,9.494335897093839
128,0.1,False,0.001,8,0.5318210279669857,9.467416334405858,26.338882203443614,989.3123692339971,9.495127460986684
128,0.3,False,0.001,32,0.5614412157861596,9.562700794098225,26.355314785985165,987.7236526052961,9.502111158794765
64,0.1,False,0.0005,32,0.5579491019656515,9.633239235776536,26.390219909506072,991.9378561766617,9.516791120742646
64,0.2,False,0.001,32,0.5530386455004711,9.629175551394198,26.405073761876764,990.2037942088447,9.525337136308755
128,0.2,False,0.001,32,0.5542352446667489,9.702246066357226,26.40520595074965,990.7179104529421,9.525834041334633
32,0.1,False,0.0005,8,0.5598650827263071,9.523868737766083,26.445580034736615,1002.5917104893169,9.535651447712807
64,0.3,False,0.001,32,0.564653066012934,9.743110257006705,26.480223492285933,995.161564373144,9.553489175896255
128,0.2,False,0.0005,16,0.5506526784849303,10.023033350325644,26.535130613615408,996.8010506468283,9.571689236324838
128,0.3,False,0.0001,8,0.580170627590428,9.71425322700054,26.702706115884553,1019.2698696777773,9.614351373278636
64,0.3,False,0.0005,32,0.5776227442151801,9.841336991939137,26.716233983533133,1018.0788087479002,9.619189751557842
32,0.3,False,0.001,32,0.577131631680024,9.516135258370259,26.732161544678384,1019.5765591269217,9.622274671798927
64,0.3,False,0.0005,8,0.5610550966073474,9.731478844361103,26.713323594151504,1011.9931604381563,9.629318899834894
64,0.2,False,0.001,16,0.5560016660591816,9.879484552018186,26.791202211253523,1018.1002244217127,9.657028434869195
64,0.0,False,0.0001,32,0.5884592693823355,9.750047666468518,26.82869699817121,1034.2973904548398,9.676637866166693
32,0.3,False,0.001,8,0.5693807368825304,9.7624176579587,26.88122837866017,1025.177766485168,9.682788243823621
128,0.2,False,0.001,16,0.5380371140245019,9.86666548784743,26.903963691043604,1025.8270380441445,9.693066249568455
16,0.0,False,0.0005,8,0.5645634812409551,9.855254761779563,26.922432532677284,1038.0367827709827,9.696220415690616
32,0.2,False,0.0005,8,0.5693614776292417,9.826661652326584,26.94251391666321,1032.4904375995804,9.702813569147342
128,0.1,False,0.001,32,0.5479002566113431,9.933513765132174,26.964312622717898,1029.9092857515936,9.715617015907572
32,0.2,False,0.0005,32,0.5823266130804676,9.790509956441026,27.035158443703892,1040.5413182936366,9.72460252205916
32,0.0,False,0.001,16,0.5386639543663063,10.034987839485737,26.95282370165109,1031.8460416526677,9.728672214092496
128,0.3,False,0.001,8,0.5505781876599347,9.871619700751406,26.994968477041716,1031.888382997528,9.728889866503222
64,0.2,False,0.0001,8,0.5903569449631875,9.891185482702356,27.114886822687854,1048.3752295450697,9.756275306076668
16,0.0,False,0.001,32,0.5723141591908925,9.981226181476673,27.0961011567862,1052.8686918079964,9.771792655432222
16,0.2,False,0.0001,32,0.6696218950388438,9.598153534341366,27.25308664660871,1060.5508245031333,9.790838158021293
64,0.1,False,0.0001,32,0.6012463699107157,9.937779547305817,27.34372454170207,1064.4013347161488,9.831910426444082
16,0.0,False,0.0005,16,0.5767534264913651,10.157536349144388,27.37012173680475,1068.4967474626073,9.843192201810188
32,0.2,False,0.001,16,0.5650449940112241,10.322536862657426,27.368961437437832,1057.884419427715,9.857112846344645
16,0.0,False,0.001,8,0.5521707156495831,10.39408132135868,27.38226569299673,1064.7066062213585,9.862427281194652
32,0.1,False,0.001,32,0.561222788659256,10.305912629594193,27.383381098334922,1060.6398779813344,9.86549063455046
64,0.0,False,0.0001,16,0.5863175823308124,10.216374111936446,27.465557092317532,1072.817647096262,9.879077102351678
128,0.3,False,0.0001,16,0.5947436629197537,10.183289204759799,27.493019707070104,1073.623093339567,9.886729476218619
64,0.1,False,0.001,8,0.5393418797135269,10.170815679367553,27.464128270642508,1065.0827350561271,9.888446667920427
32,0.0,False,0.0001,8,0.5921447786833147,10.17544863655212,27.497466757695932,1076.4620746965677,9.89071057122273
16,0.1,False,0.001,32,0.5898689736939563,10.119580859326302,27.552012209297807,1077.2803899899993,9.904883680705096
64,0.3,False,0.001,8,0.5595641358515137,10.189117289730842,27.51402904399194,1067.9389873750765,9.906506201118486
32,0.2,False,0.001,8,0.5697051751558427,10.215852066747686,27.526533892806075,1069.6577282933415,9.908435845987098
16,0.0,False,0.0005,32,0.5876567291058705,10.262399451276089,27.56115837603096,1078.1549474439003,9.913931995686156
64,0.2,False,0.001,8,0.5535382311933401,10.384436902720877,27.56607426408115,1070.4956870017572,9.926837827634559
32,0.1,False,0.0005,32,0.586348620388243,10.267528885983406,27.620687348140645,1084.175676325775,9.927215480296054
32,0.2,False,0.0005,16,0.5847219197396879,10.424710051810488,27.611327558360614,1079.015850187238,9.931444098951323
64,0.3,False,0.001,16,0.5618172795989914,10.414245034025072,27.57415739104982,1068.5491890134465,9.931778431843435
16,0.1,False,0.0005,32,0.588235842060839,10.197423222724428,27.64852643000352,1085.1977983047013,9.943941399836316
16,0.3,False,0.0001,32,0.6573739251112327,9.94267913534286,27.712475480704473,1092.362508091247,9.952888915161948
16,0.2,True,0.0001,8,0.6464540643994285,10.356765169475942,27.71908107120099,1089.09306814663,9.962556650650463
64,0.1,False,0.0001,16,0.5941802205285456,10.379925984524666,27.72397230234323,1090.1050010210733,9.970690791162973
32,0.3,False,0.0005,8,0.5889257067951382,10.36696122282363,27.74374235036835,1087.7969757642454,9.977266700726222
16,0.3,False,0.001,16,0.5940222385687027,10.300939567545626,27.763294169377904,1091.3832999949245,9.979122075345906
128,0.2,False,0.001,8,0.5418680705040947,10.332013864846939,27.733344282964815,1082.5867985629916,9.983179757417576
32,0.3,False,0.0001,32,0.6209880074680361,10.144570772698586,27.816265286311545,1097.0560984982892,9.993899828776732
16,0.3,False,0.0005,8,0.602137774171313,10.272857034079571,27.833632888591577,1096.9631280222768,10.003686175960272
64,0.1,False,0.001,16,0.5491490707811807,10.744654210070346,27.79929717289042,1085.0097961268261,10.01695352766725
16,0.1,False,0.001,8,0.5758438456075483,10.48315859754035,27.903897888021696,1099.2666259188597,10.032845957118925
16,0.2,False,0.0005,32,0.6106432688236236,10.363751177077598,27.923946609294703,1103.7460095812112,10.035193309076083
32,0.3,False,0.0005,32,0.5956313662243705,10.55286876292939,27.915257558645557,1100.470624502625,10.035576422776481
16,0.2,False,0.001,32,0.5995526526116918,10.391182929911512,27.94632032480417,1105.348319322211,10.041623163293497
16,0.3,False,0.001,8,0.5907733445663398,10.37973312875058,27.940435491506236,1103.6629602154276,10.043973568239949
16,0.0,False,0.0001,32,0.630418384374037,10.231273648079405,27.99180124621809,1110.099785323279,10.054427701944354
16,0.1,False,0.001,16,0.5751116414049752,10.67809067482644,27.995280841048263,1104.4274176276633,10.069450618270597
32,0.3,False,0.0005,16,0.596862925396346,10.489848086428134,28.041594633309845,1111.790815572217,10.075589311291356
64,0.2,False,0.0001,16,0.6000561376022138,10.481970011427048,28.04754864518143,1112.6087806993692,10.07794574936673
128,0.2,False,0.0001,32,0.6005799846126143,10.555056110341498,28.05267552545279,1112.0863402206908,10.079221822824351
16,0.2,False,0.001,8,0.5748264810672173,10.549796007224854,28.03121950670642,1105.5550343184807,10.08277430592938
16,0.3,False,0.0001,16,0.6278090947611719,10.318782983434962,28.105294589338634,1117.901898574999,10.094916648934575
16,0.3,False,0.0001,8,0.6228334232918558,10.320922744654595,28.107781755766123,1117.9242332299816,10.095866214613139
16,0.2,False,0.0001,8,0.6199761736308068,10.362493988554528,28.106646388532,1117.294534753734,10.096261546012759
16,0.2,False,0.0005,16,0.6089263131679633,10.492011414943859,28.116244369223516,1117.8046699049398,10.101147737793756
16,0.1,False,0.0001,16,0.6281508517503059,10.338527925978315,28.123163950791096,1119.0985487866044,10.101478211255996
32,0.1,False,0.0001,32,0.6102405409799342,10.46930746524892,28.1371242209518,1118.9197588948057,10.108492920138456
64,0.2,False,0.0001,32,0.6137868338636523,10.490053223549051,28.166225645839376,1120.487275454139,10.118927870726656
16,0.1,False,0.0001,32,0.6249972652404057,10.40352128211488,28.17719794559226,1122.5858606927243,10.12104047945371
32,0.3,False,0.0001,16,0.6191709550917998,10.437874878721033,28.182387836162857,1122.3423826205405,10.123678457544539
16,0.1,False,0.0005,8,0.5889999275126009,10.736562672130605,28.192185403434284,1123.2095046059792,10.128698684148358
16,0.3,True,0.001,16,0.6054782012758771,10.527641370702296,28.20598962920414,1124.240684946336,10.132337554395523
32,0.2,False,0.0001,32,0.618973531644908,10.448826895368859,28.22125721736675,1125.1899948803182,10.137424513945643
16,0.3,False,0.0005,16,0.6108105409349132,10.506563344914863,28.227221266850236,1125.1967971234376,10.140758047341269
16,0.2,False,0.0001,16,0.626022264650065,10.482531105964743,28.232515419067056,1126.239962404567,10.141003479867633
32,0.3,False,0.0001,8,0.61873927738422,10.49744952206916,28.230860241148772,1125.5242836701807,10.14133897607781
64,0.1,False,0.0001,8,0.5923634883285928,10.684303496746308,28.229794554368887,1125.1632039551391,10.141750445341838
32,0.0,False,0.0001,32,0.609359049586489,10.536701034992298,28.250489641184515,1126.6080739383365,10.14855390377075
128,0.3,False,0.0001,32,0.6079205442052282,10.646286564684928,28.252542680897193,1125.9452502659547,10.150569857166284
16,0.3,False,0.0005,32,0.6198647372097711,10.487787824995975,28.264163588465685,1128.8118588355212,10.152024606734964
32,0.2,False,0.0001,16,0.622878477033387,10.51839119753939,28.29137198450711,1130.26580510704,10.162347192839452
64,0.3,False,0.0001,16,0.6142106430075448,10.596810136703734,28.28818009677553,1129.102635855936,10.162380921184585
16,0.3,False,0.001,32,0.6067914329125331,10.65046809886364,28.285560684811216,1128.2531983540282,10.162783034042256
16,0.1,False,0.0001,8,0.6168832405790304,10.577658029185965,28.32242052801724,1131.657678850264,10.17448765934034
64,0.3,False,0.0001,32,0.6150707625901257,10.653764964164573,28.340987875859994,1132.600796648918,10.181609346322393
64,0.3,False,0.0001,8,0.6093945211774943,10.701995071198079,28.38264192535643,1135.8141815851382,10.195981761646475
32,0.2,False,0.001,32,0.5772751565604468,10.918669253207268,28.350272448309536,1127.7188004789316,10.199364903687451
16,0.1,False,0.0005,16,0.5941321766240645,10.819901272591125,28.389503394008,1136.3255150711752,10.199492158054436
32,0.0,False,0.0001,16,0.6096718139967687,10.674318277074935,28.39240776082249,1136.5368873227567,10.199576161747519
32,0.1,False,0.0001,8,0.6139601176467716,10.713406258694668,28.395646501536078,1136.4234758207601,10.20111835573597
16,0.2,False,0.0005,8,0.5989298170244591,10.804101603969613,28.394723656449457,1136.1788641561848,10.202113877558109
32,0.2,True,0.0001,16,0.6247501942574809,10.704727539863992,28.42099782604754,1139.4103729153499,10.209555860197717
32,0.1,False,0.001,8,0.5540337742631591,10.97390163705704,28.36620695483463,1123.7873982980511,10.214570254088065
32,0.3,True,0.0001,32,0.6602824155659417,10.499976162200278,28.44130027224594,1140.431436800141,10.21732951840733
16,0.2,False,0.001,16,0.5935310731484339,10.865327799320223,28.430719431262435,1137.635073158928,10.217610291835218
16,0.0,False,0.0001,16,0.6156804805535536,10.690463128495725,28.461238855012848,1142.430023369878,10.223559574185808
16,0.0,False,0.0001,8,0.6085215998561972,10.774533831312304,28.502384442802448,1144.005720515415,10.239130873856205
16,0.1,True,0.0001,32,0.6451346307500475,10.75152265974816,28.505647014749464,1147.1296849091473,10.24137486249355
32,0.1,False,0.0001,16,0.6170513694510501,10.755853344785406,28.535278943615822,1147.221121853102,10.249849858482632
16,0.2,True,0.0001,32,0.6330808188263168,10.747745972491325,28.537528696237253,1149.0569629385539,10.25378026888828
32,0.2,False,0.0001,8,0.6187404313706859,10.864155062462423,28.600982212704125,1151.3167159721474,10.274018956916986
32,0.2,True,0.0001,8,0.6143685910097214,10.906694140713267,28.610533907053007,1155.8528791272595,10.28355210102109
