hidden_size,dropout_rate,use_bn,learning_rate,batch_size,train_loss,val_loss,MAE,MSE,Percent Error
16,0.3,False,0.0001,64,0.6455568418917154,9.930353164672853,27.644496231686215,1086.637253339167,9.930096575681192
32,0.1,True,0.0001,64,0.6718343523560766,10.173334519406582,27.682702134838152,1086.8518917153367,9.958741754116753
32,0.3,True,0.0001,32,0.6560070472021727,10.110868658918013,27.720754600140395,1090.909312223997,9.960779509048594
16,0.3,True,0.0001,32,0.6740962998955338,9.917179679870605,27.801951004149743,1099.8363723148727,9.99186842673483
16,0.3,True,0.001,64,0.6059175937654626,10.273478674381337,28.03068604001316,1112.8057829210593,10.067976885209163
16,0.3,True,0.0001,16,0.6294229152976958,10.406655832047157,28.070885963338757,1115.6568425271867,10.08419100222351
16,0.3,True,0.0005,16,0.6128999369640297,10.360360029656837,28.087277067877572,1116.2786309567282,10.089222742558785
16,0.3,True,0.0005,32,0.6249345230716585,10.464820220622611,28.154677527146884,1120.0210893169099,10.115546661557975
16,0.2,True,0.0001,16,0.6354387315827557,10.515162642205015,28.176992619764903,1124.0037717398486,10.126283736018813
16,0.2,False,0.0001,32,0.6633622486231334,10.413938871343086,28.21095129362152,1126.5158126753809,10.13209309726189
16,0.2,True,0.0001,64,0.7218380810935953,10.561794289122236,28.193172416383455,1127.8301227445324,10.136966676795351
16,0.2,False,0.0001,16,0.6136772070345375,10.504269687165607,28.22436653764558,1124.3738685850153,10.140187224408002
32,0.2,False,0.0001,64,0.6216719309658746,10.518370129199738,28.298053957992273,1129.6714871112888,10.167131379196016
16,0.2,True,0.0001,8,0.6292480744187988,10.548732463476506,28.303873441579803,1131.109383585429,10.167677252626882
16,0.3,False,0.001,64,0.6022210421385589,10.550337324751183,28.33182097822032,1132.8412149496612,10.178322214093512
16,0.2,True,0.0001,32,0.7267841807695534,10.507723564289986,28.304372084235645,1139.1939363795464,10.179067114689405
16,0.3,False,0.0001,32,0.6333062178083295,10.511748522900522,28.35554495490198,1135.7831924178843,10.184742743257177
16,0.2,False,0.0001,64,0.6627807745736549,10.487213077950987,28.388816756595038,1138.565546802876,10.196332312504003
16,0.3,False,0.0001,8,0.6176216178330091,10.627156734212916,28.442475045201633,1140.3726076369203,10.217192276357876
16,0.1,False,0.0001,64,0.6466572482022125,10.566923133363115,28.448421965986093,1142.4776139223245,10.218194572517238
16,0.3,True,0.0001,64,0.6898322753994554,10.569481240942123,28.539651602585693,1149.4947670164574,10.25152964939635
16,0.3,False,0.0005,16,0.6074099354424708,10.773589453545023,28.560837188639752,1148.1064134591911,10.260928778712307
16,0.3,False,0.0005,32,0.6167670116821926,10.720193113164697,28.563134247554707,1147.875009885735,10.262138017830772
32,0.3,True,0.0001,64,0.699996564782243,10.594936849715861,28.561458557290802,1148.6083468739869,10.262572879912897
16,0.3,True,0.0005,8,0.6128104808434123,10.838879284199248,28.614121697625684,1154.677164764738,10.276577393337295
16,0.2,True,0.0005,32,0.6177247130667043,10.819612813503184,28.605416708220222,1150.8943005541182,10.278282656571898
32,0.3,False,0.0001,64,0.6159620585434797,10.752823346726437,28.61678797876171,1152.7500373535097,10.280222090983841
16,0.2,False,0.0005,32,0.6058835962083604,10.860743005225,28.643367647934973,1153.6700097200667,10.291395876800173
16,0.2,True,0.001,16,0.599947506739543,10.958572387948948,28.722825213768754,1160.7076784608157,10.317988953924587
32,0.3,False,0.0001,32,0.6195547560103599,10.844406236486233,28.717364615281003,1159.9301389623815,10.31821436497521
32,0.3,True,0.0001,16,0.645443715393713,10.77080762538504,28.725219661803717,1158.1857283600575,10.324968263498334
32,0.0,False,0.0001,64,0.6020929947113379,10.937387442081533,28.739442043152664,1160.0604567962666,10.327923509430518
16,0.3,False,0.0005,64,0.6141112909120032,10.94032600078177,28.795009469353552,1164.3467719254156,10.344929886751693
32,0.1,False,0.0001,64,0.6103276063981559,10.889732620563912,28.79220667669565,1164.8263450752627,10.345390002380508
16,0.3,False,0.0005,8,0.6021470181495376,11.029874349020897,28.820229989211185,1166.173748726099,10.354298068798993
16,0.2,False,0.001,32,0.5916064702275812,11.060813185509215,28.82640927261636,1167.2763596222685,10.357254415920787
16,0.1,False,0.0001,16,0.6114819246921105,11.04644720478261,28.843456464610618,1168.797543475822,10.363336647627888
16,0.2,False,0.001,64,0.6025227868930567,11.005874706836458,28.85013807382761,1168.361325722444,10.365712318578154
