hidden_size,dropout_rate,use_bn,learning_rate,batch_size,train_loss,val_loss,MAE,MSE,Percent Error
16,0.0,False,0.0001,64,0.5956085417101082,2.439692916323545,3.3234039607010484,21.828024694376772,4.938572169878821
32,0.3,False,0.0001,64,0.578622446546708,2.459346604818412,3.384703301257036,21.124133290166636,4.999252707392991
16,0.2,False,0.0001,16,0.5751166196872783,2.4954560072525687,3.395985475675328,21.509026029885103,5.038283891147338
16,0.3,False,0.0001,8,0.5717405532700444,2.5058560688033875,3.535938530268632,24.732522976012547,5.279178054153272
16,0.1,True,0.0001,8,0.5786402389874001,2.806070076712506,3.6207533888929477,27.069634946895576,5.371091916092339
16,0.1,False,0.0001,16,0.5859713610403624,2.4459388506742337,3.930726808262622,28.966192662132222,5.822673648466607
16,0.2,False,0.0001,32,0.57343998720442,2.4373158597192273,3.936126964298759,27.11862502950735,5.827510220945233
16,0.3,True,0.0001,16,0.5804450707855515,2.7129998749895052,3.9416786914735327,32.32713647170578,5.916611687134217
16,0.3,False,0.0005,64,0.5811509620123855,3.020807945115764,4.077211833563377,39.74694363550866,6.0578665181659055
16,0.3,False,0.0001,16,0.5930797667446831,2.4955054999340196,4.378928768728661,32.42823336476083,6.491922916284375
32,0.3,True,0.0005,64,0.5734773100633725,3.2038208895521203,4.3896412947046475,40.84705340827856,6.507805963163873
32,0.3,False,0.0001,16,0.5779599288729266,2.56770969040309,4.514517130814199,39.07269774462408,6.70913475383001
32,0.3,True,0.0005,32,0.5614259362674991,3.1963458422144413,4.690231605589859,47.959519430306194,7.026564407785937
64,0.3,False,0.0001,16,0.565782499106429,3.1018770402599225,4.817335023654728,50.23204131245335,7.2189232362084095
64,0.3,False,0.0001,64,0.5738863966911147,2.6803662309533522,4.839158272930956,42.45888806166273,7.242226050691859
16,0.3,False,0.0005,16,0.5682597213004424,3.1700604097645275,4.9103668122779665,55.45085262235959,7.3712480764449015
16,0.0,False,0.0001,8,0.566042376563874,3.3305759639136876,5.009080355186162,50.35367427877226,7.467437711343525
16,0.1,False,0.0001,32,0.5827551763205081,2.679321779846674,5.160621805266133,45.44247108128547,7.701982803868896
16,0.3,True,0.001,64,0.5763121096134993,3.1021624700825208,5.2334723885603776,65.41386573585426,7.853117041617356
16,0.3,False,0.001,32,0.5692643154283179,3.3253933964981863,5.2572531572477095,61.63625216431579,7.928248743824063
64,0.3,False,0.0005,64,0.5635540321557629,3.912542394215882,5.391985696507252,65.20609568893103,8.102239185811282
32,0.2,False,0.0001,16,0.5740870123844244,2.9417805290976062,5.4741773485198735,61.02968207567004,8.238594188850449
16,0.2,False,0.001,64,0.5635509776221201,3.432492549146117,5.476891197745255,74.62537489888646,8.295029895361486
16,0.3,True,0.0001,32,0.5753877920129358,3.4601719385079246,5.622766798124538,83.74305006495345,8.446364810783196
16,0.3,True,0.001,32,0.567077262032143,3.4929879706838856,5.740245446633167,65.644148178788,8.666642223672188
32,0.3,False,0.0001,32,0.5905249315737466,2.774883266776918,5.799228955066111,67.14426537333163,8.70156188158771
16,0.1,False,0.0005,64,0.5654569791445381,3.4586824308742177,5.801276028250146,74.78503940050722,8.783698014280839
16,0.2,False,0.0001,64,0.619761495515515,2.4525771045873284,5.915881708100086,76.56277080561395,8.911663829841967
64,0.1,False,0.0001,64,0.5647968918261742,3.677438053123564,5.963056594368041,65.22678808899623,8.913703922704983
64,0.3,False,0.0001,8,0.567175549616963,3.64563905127906,5.900841059647207,73.15936734347949,8.917422998175804
64,0.2,False,0.0001,32,0.5685420262167556,3.371768702442938,5.940444192360705,69.71163797681413,8.980515003001203
16,0.2,False,0.0005,16,0.5638011612496469,3.658512158261929,6.02416761203075,83.29796568411123,9.111468358973921
32,0.3,False,0.0005,64,0.5646232291664944,3.270531866390243,6.016629974485383,71.33457568193509,9.158727071783613
16,0.3,False,0.0001,64,0.6001286738560827,2.5769823114862556,6.112793413297397,90.2051307767118,9.244021319892559
64,0.3,False,0.0001,32,0.5698469708169748,3.3178865449701846,6.112750072929803,84.84676517920536,9.247493359775227
16,0.3,False,0.0001,32,0.5936093361674478,2.9496788175680893,6.147522492296114,100.74923494609354,9.286749893112964
32,0.1,False,0.0001,32,0.5735669072152799,2.868530525331912,6.195853772501307,76.93804762960627,9.313797126355613
16,0.3,True,0.0005,64,0.5747720888819764,3.7110697339174776,6.263630940595011,105.19014276383311,9.443462456631384
32,0.2,False,0.0001,32,0.5743657262924866,3.0484619458202316,6.280541015985444,66.43706312598779,9.538165537707034
32,0.3,True,0.0001,8,0.5803690249994587,3.6956709296335815,6.307978937945029,88.98792822153905,9.564663182476721
16,0.3,True,0.0005,32,0.5708887007910755,3.526482620540815,6.326047038281057,79.17595311787274,9.574090165980119
16,0.1,True,0.0005,32,0.5586964166689282,4.792645187151762,6.5213656027486,119.52304761825017,9.728224101423223
